text,index
"On 10 November 2024, 7 individuals suspected of being from the Logir community from Ikotos County attacked a civilian at his farm on the outskirts of Chukudum Town (Budi, Eastern Equatoria), killing him. The suspects then moved towards Kidepo Valley of Ikotos County. Motivation unknown/not reported. The deceased is likely a Didinga community member who reside in the area.",1
"On 27 October 2024, armed individuals suspected to be Buya/Boya community members shot at a vehicle belonging to a road construction company between Lobira in Ikotos County and Tuhubak in Torit County along the Torit-Kapoeta Highway location coded to Lobira (Huma boma), (Ikotos County, Eastern Equatoria State). The incident left a soldier from the Internal Security Bureau (ISB) of the National Security Service (NSS) dead while a Sudanese national, was injured. The victims were returning from an assessment of the Juba-Torit-Kapoeta-Nadapal Highway for an upcoming construction, the deceased was among officers escorting the group. Motivation unknown/not reported.",2
"On 26 October 2024, youth from Kapoeta South County (presumed to be from the Toposa community) clashed with local youth (likely from the Didinga community based on location) in Marira Boma of Ngauro/Lauru Payam (Budi, Eastern Equatoria). The clash followed an attempted a cattle raid by youths from Kapoeta South County at a cattle camp, 3 persons were killed and 3 others were injured. A local chief disputed the fatalities noting that only 1 individual was killed.",3
"On 22 September 2024, assailants, suspected to be youth from Ngauro Payam (coded as an unidentified armed group due to the area's diverse clans), stabbed, shot and killed an SSPDF soldier who was burning charcoal in Kimotong, Kimotong Payam (Budi county, Eastern Equatoria state). The motive remains unknown/unreported. The soldier's gun was stolen.",4
"On 22 September 2024, an unidentified armed individual was suspected to have killed a member of the military (SSPDF) near Camp 15 (Budi, Eastern Equatoria). Motivation of the killing is not known.",5
"On 17 September 2024, armed young people suspected to be from the Toposa community killed a man from the Didinga community in Nauro Payam (coded as Lauru, Budi, Eastern Equatoria) over a gold mining dispute.",6
"On 29 August 2024, an unidentified armed group attacked SSPDF soldiers at the Takaniyang mine area in Lotukei Payam (location coded as Lotukei, Budi, Eastern Equatoria). 2 soldiers were injured.",7
"On 26 August 2024, raiders from Logir in Ikotos county, described as bandits, were pursued by local youths (coded as an unidentified clan militia) and clashed at Chukudum in Komiri (Budi county, Eastern Equatoria state) after a cattle raid. One raider was killed. An unspecified number of cattle were raided and later recovered. Four granaries/stores were burnt.",8
"Around 11 August 2024 (between 11 August - 12 August), unidentified gunmen (described as from the Logir community) shot at motorcycles traveling on Ikotos-Tsertenya road in Murrum in Ikotos county (location coded to Ikotos, Ikotos, Eastern Equatoria) during an ambush. Motivation unknown/not reported. At least 3 civilians were killed and 1 was injured, and one of the shooters was arrested.",9
"On 11 August 2024, a suspected South Sudanese soldier killed a youth that was riding a motorcycle home in Ikotos (Ikotos, Eastern Equatoria). The motive is unknown. Officials arrested the soldier.",10
